2	1537.218	8.620	12.687	0.021	1883.732	6	1.665	2.809	0
3	112.460	8.796	10.503	0.015	2007.983	9	2.002	6.319	0
4	331.786	10.423	12.676	0.015	1893.144	8	0.907	1.984	0
5	858.113	9.120	12.184	0.009	1900.719	8	0.346	1.628	0
6	134.188	18.493	11.368	0.017	1952.971	7	2.172	5.104	0
7	943.945	18.889	12.591	0.014	1880.641	6	0.770	2.000	0
8	1413.791	18.012	10.173	0.013	1918.867	5	1.131	6.500	0
9	1216.703	20.249	13.107	0.017	1878.505	5	0.415	1.676	0
10	474.196	21.570	12.210	0.012	1891.271	5	0.689	2.106	0
11	348.384	24.774	15.966	0.265	1899.802	6	-15.128	2.270	0
12	706.597	23.924	13.468	0.021	1928.112	4	0.051	1.562	0
13	1007.982	23.217	8.610	0.028	2038.855	6	3.100	20.072	0
14	1999.685	28.628	15.165	0.144	1862.03	7	-9.104	2.544	0
15	962.953	27.237	11.999	0.013	1912.932	6	1.330	2.678	0
16	1583.374	30.217	10.647	0.014	1919.57	5	0.927	5.593	0
17	155.830	33.051	12.306	0.018	1941.022	5	1.605	3.012	0
18	414.560	33.825	11.308	0.011	1935.822	6	1.054	3.145	0
20	268.265	33.866	8.998	0.028	2010.865	6	3.843	18.634	0
21	90.871	39.279	10.528	0.014	1976.03	5	1.850	5.932	0
22	535.221	38.904	13.647	0.033	1888.012	7	1.031	2.128	0
23	1516.597	45.128	13.471	0.021	1881.978	5	-0.027	1.565	0
24	698.114	44.776	10.619	0.011	1949.032	7	1.043	4.406	0
25	649.505	49.411	13.464	0.023	1928.821	5	0.400	1.705	0
26	1024.762	56.000	12.733	0.014	1902.266	7	0.663	1.713	0
27	115.725	57.889	11.284	0.016	1948.74	9	1.976	4.876	0
28	379.137	59.799	12.437	0.013	1897.263	5	0.885	2.056	0
29	1321.431	62.465	15.108	0.136	1868.752	6	-9.092	2.469	0
30	1606.722	61.631	12.389	0.017	1888.176	6	1.050	2.734	0
31	216.710	65.326	15.252	0.157	1925.912	5	-6.100	2.515	0
32	155.996	64.463	8.652	0.030	2062.372	6	4.016	21.003	0
33	1234.754	67.637	13.011	0.019	1897.895	5	-0.644	2.003	0
34	976.028	68.380	13.102	0.024	1868.882	5	0.590	2.397	0
35	1019.159	68.104	12.003	0.010	1913.357	5	0.521	2.131	0
