2	1537.217	8.687	12.257	0.014	3014.607	8	1.312	2.205	0
3	112.293	8.776	10.038	0.011	3176.56	9	1.632	5.530	0
4	331.568	10.338	12.168	0.010	3032.857	8	0.634	1.566	0
5	858.052	9.207	11.595	0.007	3026.66	8	-0.185	1.533	0
6	133.999	18.446	10.616	0.009	3128.2	5	0.870	3.481	0
7	943.758	19.099	12.283	0.009	3027.761	6	0.486	1.329	0
8	1413.763	18.013	9.505	0.012	3056.338	5	1.262	7.248	0
9	1216.716	20.262	12.701	0.012	2990.773	6	0.520	1.285	0
10	474.085	21.573	11.603	0.008	3030.797	5	0.204	1.955	0
11	348.058	25.209	15.823	0.179	3030.227	7	-8.957	1.350	0
12	706.683	23.994	12.986	0.013	3078.246	6	0.709	1.111	0
13	1007.912	23.287	7.992	0.015	3259.72	5	2.090	12.472	0
14	1998.885	29.861	14.839	0.093	2963.177	11	-9.110	1.692	0
15	962.909	27.206	11.445	0.008	3063.034	5	-0.118	1.940	0
16	1583.337	30.279	9.967	0.012	3065.939	6	1.061	6.387	0
17	155.774	33.102	11.662	0.011	3120.984	6	1.118	2.431	0
18	414.420	33.924	10.753	0.006	3063.625	6	-0.442	2.020	0
#19	1994.349	36.748	16.263	0.345	2957.27	11	-30.388	1.699	0
20	268.181	33.807	8.366	0.018	3192.797	5	2.742	13.896	0
21	90.704	39.287	9.843	0.012	3153.684	5	1.954	6.734	0
22	535.131	39.114	13.052	0.018	3024.32	5	0.853	1.555	0
23	1516.703	45.236	12.904	0.016	3002.575	6	0.535	1.504	0
24	698.159	44.784	9.993	0.011	3119.285	6	1.301	5.413	0
25	649.618	49.457	13.020	0.015	3097.411	5	0.087	1.248	0
26	1024.732	56.097	12.114	0.011	3047.064	7	0.907	1.805	0
27	115.549	57.885	10.564	0.009	3120.654	6	0.945	3.661	0
28	379.019	59.803	11.891	0.009	3045.366	5	0.808	1.689	0
29	1320.776	63.614	14.878	0.110	2988.795	9	-10.569	1.962	0
30	1606.604	61.635	11.831	0.013	3019.783	6	1.016	2.654	0
31	215.858	66.142	15.059	0.107	3064.415	7	-7.294	1.597	0
32	155.919	64.552	8.168	0.017	3262.782	5	2.594	13.871	0
33	1234.582	67.686	12.477	0.010	3005.43	5	-0.049	1.255	0
34	975.913	68.261	12.535	0.012	3009.686	5	0.587	1.494	0
35	1019.191	68.044	11.375	0.009	3047.337	9	-0.615	2.170	0
36	577.014	69.350	10.030	0.005	3123.105	6	0.119	2.626	0
37	1508.139	69.908	12.788	0.018	3004.692	6	1.676	1.838	0
38	1089.220	69.438	8.544	0.011	3110.773	7	1.461	8.012	0
39	490.468	71.040	12.230	0.010	3075.189	5	-0.149	1.591	0
40	1200.827	74.075	11.834	0.008	3021.613	5	-0.344	1.602	0
41	577.372	78.841	9.611	0.005	3154.09	9	0.322	1.821	0
42	103.695	82.317	12.417	0.015	3100.698	6	1.343	1.988	0
43	1609.873	86.024	15.775	0.246	2993.887	9	-19.210	1.947	0
44	847.834	89.328	12.983	0.017	2987.61	5	-0.435	1.508	0
45	1406.808	95.100	11.257	0.008	3122.241	6	-0.906	2.336	0
46	674.275	97.761	10.707	0.006	3109.376	6	-0.503	2.234	0
47	1719.029	101.170	11.745	0.011	2994.213	7	1.033	2.437	0
48	730.561	104.405	11.488	0.008	3097.387	8	-1.109	1.939	0
49	1494.597	103.707	11.022	0.010	3098.683	4	-0.165	3.405	0
50	1909.909	107.112	12.764	0.015	2988.472	6	0.843	1.619	0
51	1449.099	107.300	8.772	0.014	3182.761	6	1.791	10.367	0
52	148.294	107.896	11.981	0.011	3105.574	5	0.842	2.105	0
53	572.348	110.261	9.995	0.005	3153.686	5	0.021	2.485	0
54	195.517	117.872	12.750	0.014	3066.811	5	0.405	1.446	0
55	501.587	117.898	8.279	0.012	3190.424	5	1.925	9.480	0
56	686.999	118.565	9.425	0.004	3230.056	5	0.150	2.653	0
57	1300.797	121.816	11.981	0.009	3035.958	5	0.193	1.758	0
58	1745.905	121.778	8.529	0.024	3154.906	6	4.082	18.569	0
59	319.578	121.351	8.314	0.013	3214.698	6	1.979	10.459	0
60	1784.219	123.049	11.950	0.011	2991.595	5	0.904	2.193	0
#61	1801.312	125.751	15.193	0.143	2980.636	9	-12.932	1.922	0
62	1842.152	124.100	12.439	0.016	2976.454	5	1.603	2.135	0
63	213.675	126.791	12.050	0.011	3049.284	5	0.696	1.874	0
64	1977.731	127.277	11.275	0.012	3032.087	5	0.903	3.340	0
65	1425.323	132.386	13.161	0.031	3234.995	9	3.503	2.349	0
66	88.375	135.420	12.313	0.011	3060.769	5	0.992	1.554	0
67	823.514	134.659	12.242	0.008	2984.785	5	0.383	1.278	0
